"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group A","some high school","standard","none","72","63","61"
"female","group C","some high school","standard","none","82","93","89"
"female","group C","some college","free/reduced","completed","54","69","67"
"male","group C","associate's degree","free/reduced","none","41","43","43"
"female","group A","some college","standard","none","68","74","75"
"male","group D","associate's degree","free/reduced","none","45","51","43"
"male","group B","some high school","standard","none","71","62","59"
"female","group D","some high school","free/reduced","none","40","60","54"
"female","group B","some high school","standard","none","73","84","82"
"male","group B","some college","free/reduced","completed","84","78","81"
"female","group D","associate's degree","standard","none","71","74","78"
"male","group D","bachelor's degree","standard","completed","94","94","96"
"female","group E","bachelor's degree","free/reduced","none","82","93","92"
"female","group E","associate's degree","standard","none","58","64","60"
"female","group E","associate's degree","standard","completed","73","75","77"
"male","group C","bachelor's degree","standard","none","80","72","74"
"male","group A","master's degree","standard","completed","65","69","67"
"female","group B","master's degree","free/reduced","none","48","53","50"
"female","group B","associate's degree","free/reduced","completed","37","56","56"
"female","group C","bachelor's degree","standard","none","73","72","75"
"female","group C","high school","free/reduced","none","51","58","64"
"female","group C","high school","standard","completed","77","79","82"
"female","group C","some college","free/reduced","completed","64","69","73"
"male","group C","some high school","free/reduced","none","60","73","68"
"male","group D","associate's degree","free/reduced","none","57","55","50"
"female","group B","associate's degree","free/reduced","none","74","91","78"
"female","group D","bachelor's degree","standard","completed","96","100","100"
"male","group D","master's degree","free/reduced","completed","72","66","71"
"female","group B","some college","free/reduced","none","64","73","67"
"male","group D","some high school","free/reduced","none","59","57","57"
"female","group D","bachelor's degree","standard","none","65","64","66"
"female","group C","some college","standard","none","45","58","56"
"male","group D","some high school","standard","completed","68","75","73"
"male","group B","some high school","standard","completed","61","63","55"
"male","group A","bachelor's degree","standard","completed","86","93","90"
"male","group C","bachelor's degree","standard","none","58","60","54"
"female","group D","some college","standard","none","75","83","77"
"female","group A","some college","standard","completed","57","72","74"
"male","group B","associate's degree","free/reduced","none","80","71","76"
"male","group C","some high school","free/reduced","none","57","53","56"
"male","group B","bachelor's degree","standard","none","65","68","62"
"female","group B","some college","standard","none","58","79","73"
"male","group E","bachelor's degree","free/reduced","none","67","63","60"
"male","group D","bachelor's degree","standard","none","59","55","57"
"male","group C","associate's degree","free/reduced","none","42","46","47"
"female","group A","some high school","free/reduced","completed","21","42","38"
"female","group C","high school","standard","none","76","87","83"
"female","group A","high school","free/reduced","none","52","54","53"
"female","group C","associate's degree","standard","none","86","94","97"
"male","group B","high school","standard","none","81","75","66"
"female","group D","some college","free/reduced","completed","69","87","88"
"male","group C","high school","standard","completed","97","88","87"
"male","group C","associate's degree","standard","completed","76","81","74"
"female","group B","some college","standard","none","48","61","63"
"male","group C","some college","free/reduced","none","72","68","62"
"female","group D","high school","standard","completed","53","72","67"
"female","group D","associate's degree","standard","completed","80","92","93"
"male","group C","high school","standard","none","88","74","69"
"female","group D","some high school","standard","none","75","74","81"
"male","group C","high school","standard","none","57","60","56"
"female","group E","high school","free/reduced","none","57","69","62"
"male","group C","master's degree","standard","completed","85","88","93"
"female","group C","high school","free/reduced","none","71","75","72"
"female","group C","associate's degree","free/reduced","completed","35","49","47"
"female","group C","associate's degree","free/reduced","none","69","74","77"
"female","group D","associate's degree","free/reduced","completed","47","53","60"
"male","group C","high school","standard","none","92","86","78"
"female","group C","high school","standard","completed","66","74","78"
"male","group B","high school","standard","none","56","39","41"
"male","group E","high school","free/reduced","none","65","61","54"
"male","group D","master's degree","free/reduced","none","68","55","60"
"male","group C","high school","free/reduced","none","60","58","53"
"male","group D","some college","free/reduced","completed","73","71","69"
"female","group B","associate's degree","standard","none","80","90","88"
"female","group D","associate's degree","standard","none","87","92","86"
"male","group E","some college","standard","none","80","64","58"
"female","group C","associate's degree","standard","none","71","73","80"
"female","group C","high school","free/reduced","none","48","60","55"
"female","group C","some college","standard","none","62","74","69"
"male","group A","some high school","standard","completed","79","67","69"
"male","group A","associate's degree","standard","none","75","72","66"
"male","group A","some high school","standard","none","77","73","73"
"male","group C","associate's degree","standard","completed","89","85","83"
"female","group D","bachelor's degree","standard","completed","81","94","100"
"male","group E","associate's degree","standard","none","94","91","80"
"male","group D","high school","standard","none","51","47","43"
"male","group E","some college","standard","none","79","70","66"
"female","group D","high school","standard","none","42","60","57"
"male","group D","associate's degree","standard","none","65","58","60"
"male","group D","some high school","standard","none","63","69","66"
"male","group C","bachelor's degree","free/reduced","completed","72","67","68"
"female","group E","master's degree","standard","none","66","78","77"
"male","group A","associate's degree","standard","none","60","58","57"
"male","group A","some college","standard","completed","67","72","70"
"female","group A","some college","free/reduced","none","69","74","73"
"female","group E","high school","free/reduced","none","84","85","91"
"female","group B","high school","standard","completed","71","72","74"
"female","group D","master's degree","free/reduced","none","50","57","55"
"male","group D","associate's degree","standard","completed","79","78","83"
"male","group C","master's degree","standard","completed","67","66","66"
"male","group C","associate's degree","standard","none","72","76","70"
"male","group B","some college","standard","completed","73","66","66"
"male","group C","associate's degree","free/reduced","none","57","54","51"
"female","group B","associate's degree","free/reduced","completed","51","68","64"
"male","group D","high school","standard","none","72","77","66"
"male","group E","associate's degree","free/reduced","completed","61","66","72"
"female","group C","some college","free/reduced","completed","43","54","56"
"female","group B","associate's degree","free/reduced","none","27","34","32"
"male","group B","some high school","standard","none","42","32","27"
"female","group D","some high school","standard","completed","80","77","78"
"male","group E","some college","standard","none","80","66","64"
"female","group E","some college","free/reduced","none","69","81","76"
"female","group C","some college","free/reduced","completed","57","72","76"
"female","group C","some high school","standard","none","37","60","58"
"male","group B","some college","standard","none","65","61","51"
"male","group C","bachelor's degree","free/reduced","completed","59","52","54"
"female","group C","high school","free/reduced","none","42","61","55"
"female","group C","bachelor's degree","standard","none","79","96","91"
"female","group A","some high school","standard","none","73","87","84"
"female","group A","high school","standard","none","79","73","76"
"female","group D","high school","standard","none","87","79","84"
"female","group D","associate's degree","free/reduced","none","56","64","65"
"male","group E","bachelor's degree","free/reduced","none","70","62","64"
"female","group C","some college","free/reduced","none","73","84","77"
"male","group B","high school","standard","none","74","75","63"
"female","group B","associate's degree","standard","completed","65","81","77"
"female","group E","some college","standard","none","67","76","71"
"female","group D","some college","standard","completed","81","85","91"
"female","group C","some college","free/reduced","none","49","61","58"
"female","group C","some college","free/reduced","none","41","53","53"
"male","group D","some high school","free/reduced","none","36","38","33"
"male","group B","associate's degree","standard","completed","82","87","80"
"female","group C","some college","standard","none","72","79","78"
"female","group D","high school","standard","none","46","60","61"
"male","group B","some college","standard","none","78","77","75"
"male","group D","master's degree","standard","none","91","79","85"
"male","group E","associate's degree","free/reduced","none","59","52","46"
"male","group A","high school","standard","none","44","40","29"
"female","group A","associate's degree","free/reduced","none","41","56","55"
"female","group D","high school","standard","none","66","68","76"
"male","group B","high school","free/reduced","completed","48","63","55"
