"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","bachelor's degree","standard","completed","95","100","97"
"female","group A","some college","free/reduced","completed","66","78","77"
"female","group B","high school","standard","none","53","64","62"
"female","group C","some high school","standard","none","53","65","59"
"female","group E","master's degree","standard","none","77","94","91"
"male","group D","some college","free/reduced","completed","47","52","52"
"male","group A","high school","standard","none","72","64","58"
"female","group C","bachelor's degree","standard","completed","66","65","73"
"male","group C","associate's degree","standard","completed","79","77","66"
"female","group D","some high school","standard","completed","66","79","78"
"female","group D","bachelor's degree","free/reduced","completed","41","54","57"
"male","group B","some college","standard","completed","75","71","75"
"male","group E","associate's degree","standard","completed","83","79","75"
"female","group D","high school","standard","none","58","75","69"
"male","group B","associate's degree","standard","none","89","95","84"
"female","group E","some high school","free/reduced","completed","54","64","64"
"female","group D","some high school","free/reduced","completed","56","70","69"
"male","group C","high school","free/reduced","none","48","54","45"
"male","group B","bachelor's degree","free/reduced","none","61","54","52"
"female","group D","some college","free/reduced","none","50","47","53"
"male","group D","high school","standard","completed","90","84","84"
"female","group D","associate's degree","free/reduced","none","47","55","52"
"female","group D","bachelor's degree","standard","none","80","81","84"
"female","group D","some high school","standard","none","66","67","68"
"female","group B","bachelor's degree","standard","none","70","72","72"
"female","group D","some college","free/reduced","none","69","89","91"
"female","group C","some high school","free/reduced","none","43","59","56"
"female","group C","master's degree","standard","none","70","71","76"
"female","group C","bachelor's degree","standard","completed","67","72","72"
"male","group C","high school","standard","completed","93","88","84"
"female","group B","bachelor's degree","standard","none","58","66","68"
"female","group D","bachelor's degree","standard","completed","59","63","69"
"male","group B","high school","free/reduced","completed","71","85","77"
"female","group A","master's degree","standard","none","61","78","72"
"female","group C","some college","standard","none","78","91","93"
"male","group C","associate's degree","standard","none","68","60","54"
"female","group B","bachelor's degree","standard","completed","93","100","97"
"male","group C","associate's degree","standard","none","65","67","61"
"female","group A","some high school","standard","none","34","52","44"
"male","group C","master's degree","standard","completed","75","74","76"
"female","group E","some college","standard","completed","69","71","76"
"female","group E","high school","free/reduced","none","44","45","42"
"male","group E","some college","free/reduced","none","52","45","38"
"male","group E","high school","standard","none","86","79","74"
"female","group C","some college","free/reduced","completed","53","64","70"
"male","group B","bachelor's degree","standard","completed","79","82","86"
"female","group C","some college","free/reduced","completed","53","59","63"
"male","group C","some college","free/reduced","none","48","50","46"
"male","group E","high school","standard","none","100","93","87"
"male","group D","high school","standard","none","80","84","79"
"male","group C","some college","free/reduced","none","69","65","59"
"male","group B","associate's degree","standard","none","78","75","70"
"female","group D","bachelor's degree","standard","completed","69","74","79"
"male","group C","high school","standard","none","83","87","79"
"male","group B","some college","free/reduced","none","32","36","30"
"female","group C","high school","free/reduced","none","54","70","62"
"male","group D","master's degree","free/reduced","completed","73","75","76"
"male","group C","some high school","free/reduced","none","38","39","36"
"female","group C","high school","standard","none","44","49","53"
"female","group C","associate's degree","standard","completed","58","66","72"
"male","group C","some college","free/reduced","none","49","54","46"
"male","group A","some college","free/reduced","completed","53","60","54"
"male","group C","some college","standard","completed","79","75","73"
"female","group C","some high school","standard","completed","62","66","66"
"female","group C","bachelor's degree","free/reduced","none","52","54","55"
"female","group B","high school","standard","none","74","75","81"
"male","group A","high school","free/reduced","completed","56","53","51"
"female","group D","some college","standard","none","56","74","75"
"female","group B","associate's degree","free/reduced","completed","43","42","44"
"male","group D","some high school","standard","completed","55","47","55"
"female","group A","some high school","free/reduced","none","72","80","72"
"female","group D","associate's degree","standard","none","55","61","61"
"female","group C","associate's degree","free/reduced","none","62","70","71"
"female","group D","associate's degree","standard","none","54","68","62"
"female","group C","some college","free/reduced","none","21","44","36"
"female","group D","high school","standard","none","82","87","91"
"female","group D","some college","standard","completed","89","100","100"
"male","group A","some college","standard","completed","66","67","66"
"female","group D","some college","standard","none","74","76","83"
"male","group A","high school","free/reduced","none","52","44","39"
"female","group C","high school","standard","completed","63","74","80"
"male","group B","some high school","standard","none","54","59","54"
"male","group B","bachelor's degree","free/reduced","none","48","40","44"
"female","group C","some college","standard","none","71","79","76"
"female","group B","some college","standard","completed","82","94","96"
"male","group D","high school","standard","none","63","50","52"
"male","group C","bachelor's degree","standard","completed","83","78","78"
"female","group C","associate's degree","free/reduced","completed","60","75","79"
"male","group E","high school","standard","none","91","79","83"
"female","group C","high school","standard","none","76","96","89"
"male","group D","some high school","standard","completed","70","62","63"
"female","group B","some college","standard","completed","62","64","64"
"male","group B","bachelor's degree","standard","none","80","72","74"
"female","group E","master's degree","standard","none","91","90","86"
"female","group D","some college","standard","completed","64","79","75"
"female","group B","associate's degree","standard","completed","77","94","94"
"female","group E","master's degree","free/reduced","none","76","78","83"
"female","group C","bachelor's degree","standard","completed","73","73","77"
"male","group B","some college","free/reduced","none","44","46","40"
"female","group B","associate's degree","standard","completed","86","100","93"
"female","group E","some college","standard","none","64","61","66"
"male","group D","some high school","standard","none","59","55","50"
"male","group B","some college","standard","completed","69","61","63"
"female","group D","high school","standard","none","68","80","79"
"female","group C","associate's degree","free/reduced","completed","51","75","69"
"female","group D","some college","standard","completed","86","98","100"
"male","group D","some high school","standard","none","42","41","39"
