"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","bachelor's degree","free/reduced","none","51","68","63"
"male","group C","associate's degree","standard","none","67","81","71"
"male","group D","bachelor's degree","standard","none","66","61","56"
"female","group E","some college","standard","none","81","85","87"
"male","group D","some high school","standard","completed","92","93","91"
"male","group C","bachelor's degree","standard","none","56","50","48"
"male","group E","associate's degree","standard","none","78","74","71"
"female","group A","associate's degree","free/reduced","completed","69","73","84"
"male","group D","some high school","free/reduced","none","47","50","47"
"male","group B","some high school","free/reduced","none","50","44","41"
"female","group A","associate's degree","standard","completed","61","78","73"
"female","group C","high school","standard","completed","81","95","97"
"male","group D","some college","standard","none","58","63","61"
"female","group D","some college","free/reduced","none","52","64","70"
"male","group C","some college","standard","none","65","66","59"
"female","group D","associate's degree","free/reduced","none","35","49","52"
"female","group C","associate's degree","free/reduced","completed","51","69","70"
"male","group B","some college","standard","none","62","59","57"
"female","group B","high school","standard","completed","76","93","90"
"female","group D","bachelor's degree","standard","none","72","75","75"
"female","group C","some high school","standard","none","64","69","68"
"female","group C","some college","standard","none","58","57","63"
"male","group E","associate's degree","standard","none","83","82","81"
"male","group C","some college","standard","none","77","71","70"
"male","group D","some college","free/reduced","none","67","68","67"
"female","group A","some college","standard","none","58","74","71"
"female","group C","associate's degree","standard","completed","69","83","83"
"male","group D","associate's degree","standard","none","77","77","70"
"female","group A","master's degree","free/reduced","none","52","60","64"
"male","group B","some college","standard","completed","61","65","58"
"female","group B","master's degree","free/reduced","none","79","89","90"
"male","group C","associate's degree","free/reduced","none","48","55","49"
"male","group B","high school","standard","none","62","43","46"
"female","group C","associate's degree","standard","none","55","70","66"
"male","group C","some high school","free/reduced","none","48","49","37"
"male","group C","high school","standard","completed","74","65","63"
"female","group D","associate's degree","standard","completed","95","100","100"
"male","group B","some college","standard","none","55","56","45"
"male","group E","associate's degree","free/reduced","completed","83","78","74"
"female","group B","associate's degree","standard","none","50","62","59"
"female","group A","high school","standard","none","70","84","78"
"female","group C","some college","standard","none","69","81","75"
"male","group D","some college","standard","none","91","84","90"
"female","group C","associate's degree","standard","none","83","98","94"
"female","group C","associate's degree","standard","completed","50","62","62"
"male","group A","some college","standard","none","75","71","62"
"male","group C","high school","standard","completed","66","63","67"
"male","group A","associate's degree","free/reduced","none","70","76","73"
"male","group B","associate's degree","free/reduced","none","79","69","69"
"male","group C","high school","free/reduced","none","44","52","46"
"female","group E","bachelor's degree","standard","none","91","86","88"
"female","group D","some college","standard","none","48","59","59"
"female","group C","master's degree","standard","completed","79","85","90"
"female","group C","high school","free/reduced","completed","44","48","56"
"female","group C","bachelor's degree","free/reduced","none","51","65","62"
"female","group C","some college","standard","none","55","52","58"
"female","group C","high school","standard","completed","78","88","92"
"male","group A","some college","standard","completed","65","50","55"
"male","group B","some college","standard","none","92","88","85"
"female","group C","associate's degree","free/reduced","none","53","71","69"
"female","group B","some college","standard","none","70","83","80"
"female","group C","some high school","standard","none","52","56","60"
"male","group E","some high school","standard","none","91","80","69"
"male","group C","some high school","standard","completed","86","87","84"
"male","group C","associate's degree","standard","none","84","74","78"
"female","group C","some college","standard","none","65","61","62"
"female","group D","some college","standard","none","76","82","82"
"female","group D","high school","free/reduced","none","67","76","70"
"male","group D","bachelor's degree","free/reduced","completed","79","87","81"
"female","group D","some high school","free/reduced","none","45","62","60"
"male","group A","associate's degree","free/reduced","completed","48","54","53"
"male","group B","high school","free/reduced","none","78","69","68"
"male","group E","high school","standard","none","89","75","73"
"female","group C","some high school","standard","none","42","47","52"
"female","group B","some high school","standard","none","51","53","57"
